"CODDPTO","CODPROV","CODDIST","NOMBRE"
"01","00","00","AMAZONAS"
"01","01","00","CHACHAPOYAS"
"01","01","01","CHACHAPOYAS"
"01","01","02","ASUNCION"
"01","01","03","BALSAS"
"01","01","04","CHETO"
"01","01","05","CHILIQUIN"
"01","01","06","CHUQUIBAMBA"
"01","01","07","GRANADA"
"01","01","08","HUANCAS"
"01","01","09","LA JALCA"
"01","01","10","LEIMEBAMBA"
"01","01","11","LEVANTO"
"01","01","12","MAGDALENA"
"01","01","13","MARISCAL CASTILLA"
"01","01","14","MOLINOPAMPA"
"01","01","15","MONTEVIDEO"
"01","01","16","OLLEROS"
"01","01","17","QUINJALCA"
"01","01","18","SAN FRANCISCO DE DAGUAS"
"01","01","19","SAN ISIDRO DE MAINO"
"01","01","20","SOLOCO"
"01","01","21","SONCHE"
"01","02","00","BAGUA"
"01","02","01","BAGUA"
"01","02","02","ARAMANGO"
"01","02","03","COPALLIN"
"01","02","04","EL PARCO"
"01","02","05","IMAZA"
"01","02","06","LA PECA"
"01","03","00","BONGARA"
"01","03","01","JUMBILLA"
"01","03","02","CHISQUILLA"
"01","03","03","CHURUJA"
"01","03","04","COROSHA"
"01","03","05","CUISPES"
"01","03","06","FLORIDA"
"01","03","07","JAZAN"
"01","03","08","RECTA"
"01","03","09","SAN CARLOS"
"01","03","10","SHIPASBAMBA"
"01","03","11","VALERA"
"01","03","12","YAMBRASBAMBA"
"01","04","00","CONDORCANQUI"
"01","04","01","NIEVA"
"01","04","02","EL CENEPA"
"01","04","03","RIO SANTIAGO"
"01","05","00","LUYA"
"01","05","01","LAMUD"
"01","05","02","CAMPORREDONDO"
"01","05","03","COCABAMBA"
"01","05","04","COLCAMAR"
"01","05","05","CONILA"
"01","05","06","INGUILPATA"
"01","05","07","LONGUITA"
"01","05","08","LONYA CHICO"
"01","05","09","LUYA"
"01","05","10","LUYA VIEJO"
"01","05","11","MARIA"
"01","05","12","OCALLI"
"01","05","13","OCUMAL"
"01","05","14","PISUQUIA"
"01","05","15","PROVIDENCIA"
"01","05","16","SAN CRISTOBAL"
"01","05","17","SAN FRANCISCO DEL YESO"
"01","05","18","SAN JERONIMO"
"01","05","19","SAN JUAN DE LOPECANCHA"
"01","05","20","SANTA CATALINA"
"01","05","21","SANTO TOMAS"
"01","05","22","TINGO"
"01","05","23","TRITA"
"01","06","00","RODRIGUEZ DE MENDOZA"
"01","06","01","SAN NICOLAS"
"01","06","02","CHIRIMOTO"
"01","06","03","COCHAMAL"
"01","06","04","HUAMBO"
"01","06","05","LIMABAMBA"
"01","06","06","LONGAR"
"01","06","07","MARISCAL BENAVIDES"
"01","06","08","MILPUC"
"01","06","09","OMIA"
"01","06","10","SANTA ROSA"
"01","06","11","TOTORA"
"01","06","12","VISTA ALEGRE"
"01","07","00","UTCUBAMBA"
"01","07","01","BAGUA GRANDE"
"01","07","02","CAJARURO"
"01","07","03","CUMBA"
"01","07","04","EL MILAGRO"
"01","07","05","JAMALCA"
"01","07","06","LONYA GRANDE"
"01","07","07","YAMON"
"02","00","00","ANCASH"
"02","01","00","HUARAZ"
"02","01","01","HUARAZ"
"02","01","02","COCHABAMBA"
"02","01","03","COLCABAMBA"
"02","01","04","HUANCHAY"
"02","01","05","INDEPENDENCIA"
"02","01","06","JANGAS"
"02","01","07","LA LIBERTAD"
"02","01","08","OLLEROS"
"02","01","09","PAMPAS"
"02","01","10","PARIACOTO"
"02","01","11","PIRA"
"02","01","12","TARICA"
"02","02","00","AIJA"
"02","02","01","AIJA"
"02","02","02","CORIS"
"02","02","03","HUACLLAN"
"02","02","04","LA MERCED"
"02","02","05","SUCCHA"
"02","03","00","ANTONIO RAYMONDI"
"02","03","01","LLAMELLIN"
"02","03","02","ACZO"
"02","03","03","CHACCHO"
"02","03","04","CHINGAS"
"02","03","05","MIRGAS"
"02","03","06","SAN JUAN DE RONTOY"
"02","04","00","ASUNCION"
"02","04","01","CHACAS"
"02","04","02","ACOCHACA"
"02","05","00","BOLOGNESI"
"02","05","01","CHIQUIAN"
"02","05","02","ABELARDO PARDO LEZAMETA"
"02","05","03","ANTONIO RAYMONDI"
"02","05","04","AQUIA"
"02","05","05","CAJACAY"
"02","05","06","CANIS"
"02","05","07","COLQUIOC"
"02","05","08","HUALLANCA"
"02","05","09","HUASTA"
"02","05","10","HUAYLLACAYAN"
"02","05","11","LA PRIMAVERA"
"02","05","12","MANGAS"
"02","05","13","PACLLON"
"02","05","14","SAN MIGUEL DE CORPANQUI"
"02","05","15","TICLLOS"
"02","06","00","CARHUAZ"
"02","06","01","CARHUAZ"
"02","06","02","ACOPAMPA"
"02","06","03","AMASHCA"
"02","06","04","ANTA"
"02","06","05","ATAQUERO"
"02","06","06","MARCARA"
"02","06","07","PARIAHUANCA"
"02","06","08","SAN MIGUEL DE ACO"
"02","06","09","SHILLA"
"02","06","10","TINCO"
"02","06","11","YUNGAR"
"02","07","00","CARLOS FERMIN FITZCARRALD"
"02","07","01","SAN LUIS"
"02","07","02","SAN NICOLAS"
"02","07","03","YAUYA"
"02","08","00","CASMA"
"02","08","01","CASMA"
"02","08","02","BUENA VISTA ALTA"
"02","08","03","COMANDANTE NOEL"
"02","08","04","YAUTAN"
"02","09","00","CORONGO"
"02","09","01","CORONGO"
"02","09","02","ACO"
"02","09","03","BAMBAS"
"02","09","04","CUSCA"
"02","09","05","LA PAMPA"
"02","09","06","YANAC"
"02","09","07","YUPAN"
"02","10","00","HUARI"
"02","10","01","HUARI"
"02","10","02","ANRA"
"02","10","03","CAJAY"
"02","10","04","CHAVIN DE HUANTAR"
"02","10","05","HUACACHI"
"02","10","06","HUACCHIS"
"02","10","07","HUACHIS"
"02","10","08","HUANTAR"
"02","10","09","MASIN"
"02","10","10","PAUCAS"
"02","10","11","PONTO"
"02","10","12","RAHUAPAMPA"
"02","10","13","RAPAYAN"
"02","10","14","SAN MARCOS"
"02","10","15","SAN PEDRO DE CHANA"
"02","10","16","UCO"
"02","11","00","HUARMEY"
"02","11","01","HUARMEY"
"02","11","02","COCHAPETI"
"02","11","03","CULEBRAS"
"02","11","04","HUAYAN"
"02","11","05","MALVAS"
"02","12","00","HUAYLAS"
"02","12","01","CARAZ"
"02","12","02","HUALLANCA"
"02","12","03","HUATA"
"02","12","04","HUAYLAS"
"02","12","05","MATO"
"02","12","06","PAMPAROMAS"
"02","12","07","PUEBLO LIBRE"
"02","12","08","SANTA CRUZ"
"02","12","09","SANTO TORIBIO"
"02","12","10","YURACMARCA"
"02","13","00","MARISCAL LUZURIAGA"
"02","13","01","PISCOBAMBA"
"02","13","02","CASCA"
"02","13","03","ELEAZAR GUZMAN BARRON"
"02","13","04","FIDEL OLIVAS ESCUDERO"
"02","13","05","LLAMA"
"02","13","06","LLUMPA"
"02","13","07","LUCMA"
"02","13","08","MUSGA"
"02","14","00","OCROS"
"02","14","01","OCROS"
"02","14","02","ACAS"
"02","14","03","CAJAMARQUILLA"
"02","14","04","CARHUAPAMPA"
"02","14","05","COCHAS"
"02","14","06","CONGAS"
"02","14","07","LLIPA"
"02","14","08","SAN CRISTOBAL DE RAJAN"
"02","14","09","SAN PEDRO"
"02","14","10","SANTIAGO DE CHILCAS"
"02","15","00","PALLASCA"
"02","15","01","CABANA"
"02","15","02","BOLOGNESI"
"02","15","03","CONCHUCOS"
"02","15","04","HUACASCHUQUE"
"02","15","05","HUANDOVAL"
"02","15","06","LACABAMBA"
"02","15","07","LLAPO"
"02","15","08","PALLASCA"
"02","15","09","PAMPAS"
"02","15","10","SANTA ROSA"
"02","15","11","TAUCA"
"02","16","00","POMABAMBA"
"02","16","01","POMABAMBA"
"02","16","02","HUAYLLAN"
"02","16","03","PAROBAMBA"
"02","16","04","QUINUABAMBA"
"02","17","00","RECUAY"
"02","17","01","RECUAY"
"02","17","02","CATAC"
"02","17","03","COTAPARACO"
